method,suite,setting,seed,split,pair,aggregation,metric,value,source
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,mAP,0.6271906994394402,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank1,0.765,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank5,0.8890476190476191,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,mAP,0.6297783400650536,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,rank1,0.5780254777070064,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,rank5,0.8168789808917197,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,mAP,0.5223970221960621,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,rank1,0.6929416433239963,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,rank5,0.8606911764705881,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,mAP,0.5786272137655027,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,rank1,0.675,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,rank5,0.95,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
