method,suite,setting,pair,aggregation,metric,mean_of_seed_split_means,seed_std,pooled_split_std,num_seeds,num_runs
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5468708676565438,0.03144923285480493,0.07704673481313883,3,15
RGB-depth projection,train_clothing,len15_c2,test_general_to_personal,query_micro,mAP,0.9015731027832413,0.01184126509278715,0.06091966569719634,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank1,0.5306791569086652,0.008611136445363118,0.07116664071975105,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank5,0.7227166276346604,0.011606099946945088,0.066100261779178,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,mAP,0.5281379579904487,0.010896688227913325,0.07172940486263492,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_to_special,subject_macro,mAP,0.5175957833981698,0.00945090889094777,0.06889514939518983,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_c4c5_normal,subject_macro,mAP,0.5424084308421593,0.013493899608424158,0.0740328391884939,3,15
RGB-depth projection,train_clothing,len15_c2,test_fixed5_c7,subject_macro,mAP,0.37999975526187985,0.006730258625376614,0.06749234866451068,3,15
RGB-depth projection,train_clothing,len15_c3,test_general_to_personal,query_micro,mAP,0.9023022465573417,0.017053569846449654,0.044110607056313235,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank1,0.55160031225605,0.026885771763247312,0.07672957812652723,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank5,0.7019516003122561,0.018930804701060004,0.05227934735347408,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,mAP,0.5602212382353999,0.020965798246561453,0.07728274639602035,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_to_special,subject_macro,mAP,0.5488958214048208,0.01872780477688781,0.07444141078993304,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_c4c5_normal,subject_macro,mAP,0.5824758988079112,0.015743323446968622,0.07033484927082788,3,15
RGB-depth projection,train_clothing,len15_c3,test_fixed5_c7,subject_macro,mAP,0.40401035247060163,0.018470853621627797,0.06509618270053327,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_general_to_personal,query_micro,mAP,0.8022493001015895,0.025294507874990324,0.05782910706879951,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank1,0.4549570647931304,0.03448768767593818,0.10825471870568966,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank5,0.6724434035909446,0.05251799591429874,0.12564824164599017,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,mAP,0.43206591357438473,0.0232633992947868,0.0747084946687472,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.430436713379956,0.023485351343720446,0.07458507812158019,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.4857567168752179,0.02224194482648485,0.06690008062387434,3,15
RGB-depth projection,train_video_count,len15_2videos_per_id,test_fixed5_c7,subject_macro,mAP,0.3057354431319982,0.043183942284065156,0.0978093741171606,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_general_to_personal,query_micro,mAP,0.8867903551835737,0.0038499773937042186,0.02062855390190374,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank1,0.5356752537080406,0.01096681300786007,0.08782447737025847,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank5,0.6696330991412959,0.007075890206791393,0.07070617496400286,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,mAP,0.5093925955650818,0.007617254288454956,0.06980346617369618,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.5089595319876744,0.007124637007827791,0.0687621175996069,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.5437977998353891,0.0058030151434934184,0.06968764041046707,3,15
RGB-depth projection,train_video_count,len15_4videos_per_id,test_fixed5_c7,subject_macro,mAP,0.34696102356434694,0.01010912350854288,0.05714838930868468,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_general_to_personal,query_micro,mAP,0.9259588892959497,0.007293298486680108,0.02928255334533531,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank1,0.5673692427790789,0.008807059969505353,0.07497787301294652,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank5,0.6969555035128806,0.00813964739905515,0.06987562041769188,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,mAP,0.5574755472656715,0.011466925936559886,0.0809202866129852,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.5529807346388488,0.01200291859728453,0.07855919185701152,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.5777913198564879,0.013627243416673632,0.07708280882517321,3,15
RGB-depth projection,train_video_count,len15_8videos_per_id,test_fixed5_c7,subject_macro,mAP,0.39606252838547035,0.006260506511309884,0.0767171165114187,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_general_to_personal,query_micro,mAP,0.9482243501043398,0.01437105459548677,0.02400225846254286,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank1,0.5617486338797814,0.015188617026717048,0.07578500006456153,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank5,0.702263856362217,0.00371440351393297,0.047171854970783314,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,mAP,0.5686007532893821,0.007491676027739921,0.081527175853745,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.5582051416960366,0.008685403709633522,0.07888032955961564,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.5750893300443508,0.005009994756142672,0.08101193811156208,3,15
RGB-depth projection,train_video_count,len15_16videos_per_id,test_fixed5_c7,subject_macro,mAP,0.42875789547339077,0.004966610716426304,0.05768503713271272,3,15
Gray-depth projection,train_clothing,len15_c2,test_general_to_personal,query_micro,mAP,0.8784208811819553,0.0036945881554822442,0.06290962435826225,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank1,0.6120218579234973,0.018238266164168383,0.06312864429506064,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank5,0.7931303669008587,0.004432496351780921,0.04692939380230799,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_to_special,query_micro,mAP,0.5682602099486852,0.00617349156231269,0.07099229948275039,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_to_special,subject_macro,mAP,0.5629640529371217,0.005728100016650185,0.06285019372664505,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_c4c5_normal,subject_macro,mAP,0.5675052728488483,0.0029090393413210847,0.06327916329300011,3,15
Gray-depth projection,train_clothing,len15_c2,test_fixed5_c7,subject_macro,mAP,0.43536502683845657,0.01585732151633729,0.07560527139673018,3,15
Gray-depth projection,train_clothing,len15_c3,test_general_to_personal,query_micro,mAP,0.877988409318955,0.009185787759824548,0.0681597761822213,3,15
Gray-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank1,0.551912568306011,0.009125145477722071,0.06766308330113603,3,15
Gray-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank5,0.7701795472287275,0.022767941700546065,0.055035073441044885,3,15
Gray-depth projection,train_clothing,len15_c3,test_fixed5_to_special,query_micro,mAP,0.5729051102368651,0.02354848839496677,0.0629796193254734,3,15
Gray-depth projection,train_clothing,len15_c3,test_fixed5_to_special,subject_macro,mAP,0.5733367041666146,0.018101653003708404,0.057488352278881445,3,15
